timestamp_ms,accx,accy,accz,gyrox,gyroy,gyroz,magx,magy,magz,rssi_MAC1,rssi_MAC2
2018,0.1671,0.1735,1.0148,-5.0659,8.3008,18.6768,10,-35,-1,-64,-72
2445,0.1486,0.1486,1.0219,-11.4746,3.9673,-0.3662,9,-36,-3,-68,-71
2881,0.1835,0.1555,0.9813,-1.0986,1.4648,-0.7324,12,-35,-4,-65,-72
3307,0.1901,0.165,0.9779,1.2817,-2.7466,1.8311,10,-37,-7,-70,-82
3723,0.0363,0.173,0.9573,-5.188,-1.9531,-2.5024,10,-36,-4,-60,-71
4157,0.3025,0.2738,1.426,7.6294,-0.6104,2.4414,17,-37,-7,-67,-70
4570,0.2418,0.1877,0.8787,-7.3853,4.2114,3.8452,14,-41,-9,-70,-72
4986,0.1539,0.2108,0.9985,1.709,5.0659,2.1362,15,-44,-6,-73,-77
5430,0.0386,0.1327,1.1553,4.3335,-2.1973,3.3569,14,-45,-5,-74,-70
5860,-0.2247,0.0864,1.1669,3.3569,-4.0283,7.2021,16,-38,-3,   NA ,-74
6280,0.1761,0.2112,0.8961,-4.4556,18.4937,-8.667,19,-42,-5,-77,-71
6718,0.175,0.2303,1.0416,-7.0801,1.5259,3.9062,20,-46,-5,-68,-70
7164,0.0206,0.1014,0.9065,5.0049,-22.0947,1.0376,21,-44,-8,-66,-68
7591,0.39,0.2721,1.0663,13.7939,-17.2119,8.4839,23,-37,-6,-65,-71
8030,0.2109,0.2155,0.9425,3.2959,9.7046,-3.1738,21,-40,-3,   NA ,-68
8457,0.0171,0.1172,1.1077,4.7607,-0.8545,0.3052,22,-41,-7,-69,-76
8907,-0.1409,0.1996,1.2975,-8.8501,8.9111,8.1787,18,-33,-1,-81,-77
9339,0.1787,0.2056,0.9065,-3.9673,26.062,-10.498,13,-33,1,-73,   NA 
9772,0.2233,0.172,1.0292,-5.188,5.6763,-1.3428,10,-42,-4,   NA ,-68
10203,0.0051,0.0912,1.0126,4.8828,-8.4229,-1.3428,7,-47,-1,-72,-70
10648,0.2201,0.0758,0.6964,-0.4883,-22.3389,4.9438,9,-45,2,-68,   NA 
11075,0.037,0.1323,1.0658,-1.8311,10.0098,-5.7983,12,-48,1,-77,-69
11495,0.2089,0.0662,0.8721,6.1646,11.5356,-19.2871,12,-50,-3,-80,-69
11922,0.078,0.1112,0.9684,0.8545,-25.6958,10.498,11,-50,0,-75,-71
12366,0.3209,0.0841,0.6959,-6.0425,-16.2964,1.77,14,-46,0,-80,-67
12796,0.2675,0.2141,0.9745,3.7842,5.9204,-2.5635,13,-52,-4,-78,-67
13216,0.1696,0.1792,0.9716,-3.6621,1.3428,-9.6436,9,-51,-2,-71,-65
13669,-0.0708,0.1835,1.1147,11.4746,-48.0957,15.625,11,-50,-1,-79,-61
14103,0.2737,0.3555,0.9608,0.7935,31.7383,0.5493,7,-49,5,-73,-66
14540,0.1996,0.1682,0.8549,-7.8735,-9.2773,0.4272,-1,-55,8,   NA ,-72
14985,0.0245,0.177,1.056,-0.9155,10.8032,-4.9438,-1,-58,1,-82,-60
15448,-0.1611,0.104,1.14,5.9814,-26.5503,20.5688,-5,-37,10,-87,-62
15879,0.2499,0.2166,0.8966,-2.0142,41.8701,-9.7046,8,-27,8,-83,-68
16317,0.228,0.2187,1.0259,-2.3193,7.5684,-4.3335,9,-35,16,-79,-67
16732,-0.0583,0.1479,0.9827,4.0283,-33.6304,9.3384,14,-35,16,-82,-58
17160,0.2831,0.3159,1.1727,-9.3384,30.7007,14.7095,23,-36,17,-76,-62
17609,0.2936,0.1897,0.881,-2.0752,0.1221,-0.3662,23,-50,15,-76,-57
18033,0.3811,0.1084,0.9628,-3.9062,-12.6953,-18.4326,20,-46,12,-81,-67
18461,0.1805,0.3258,0.9426,-28.1982,-4.7607,-197.2046,-1,-55,13,-85,-65
18893,0.1686,0.1327,0.9509,-11.2915,-7.2021,-12.8174,-7,-55,16,-71,-63
19320,0.1259,0.1277,0.9561,-0.5493,-3.6011,8.1787,-7,-52,14,-76,   NA 
19764,-0.0455,0.1281,1.1895,9.3384,-26.3672,23.6816,-8,-41,14,-78,-79
20197,0.2247,0.203,0.998,0,37.7808,-7.0801,-7,-40,15,-78,-69
20644,0.1458,0.1497,0.9681,-0.6104,5.0049,-18.4326,-9,-45,10,-71,-68
21060,0.1862,0.303,0.9689,27.4658,12.146,198.9136,-1,-50,14,-77,-65
21518,0.2493,0.0493,1.5017,7.2021,21.0571,50.7202,11,-51,10,-85,-68
21953,0.152,0.1451,1.0304,7.0801,-8.1787,-2.7466,16,-50,4,-83,-68
22376,-0.1484,0.0745,1.1211,-4.0894,-6.958,-4.6997,16,-49,4,-85,-52
22791,0.3744,0.1763,0.7944,-0.061,-33.5693,4.4556,14,-45,13,-79,-65
23242,0.2286,0.2179,0.9993,-4.3335,3.2959,-4.2725,14,-49,4,-78,-57
23680,0.058,0.1038,1.1082,3.418,-12.2681,0.061,14,-55,4,-79,-58
24122,0.0557,0.1495,1.1536,-5.3101,-51.4526,13.977,13,-53,5,-78,-60
24552,0.1184,0.1602,0.8972,-20.1416,37.7808,-7.3242,13,-48,1,-82,-70
24987,0.1675,0.2054,1.0167,-4.1504,-5.188,5.3711,15,-52,0,-81,-70
25422,0.1207,0.1866,1.0181,-1.6479,-2.0142,-6.0425,10,-57,4,-88,-63
25851,-0.097,0.1876,1.13,-1.9531,5.6763,16.7847,13,-50,6,-81,-68
26280,0.3114,0.2639,1.0417,-1.0986,15.8081,4.2725,15,-50,4,-80,-65
26707,0.1997,0.1844,1.0276,-6.4697,11.4746,-0.6714,10,-54,7,-79,-67
27144,0.0253,0.0819,0.8987,-13.3057,-20.6299,1.1597,10,-53,-1,-76,-68
27575,0.2847,0.0631,0.4421,5.6152,-23.8647,5.4321,10,-50,5,   NA ,-76
28033,0.3955,0.1497,1.0054,2.2583,-3.1738,-7.8735,11,-53,6,-77,-77
